degree,lambda2,lambda2_lb,lambda2_ub,iters_mean,time_mean,acc_mean,converged_rate
3,0.42184143778877,0.17157287525381,5.82842712474619,300,3.49233968,0.2,0
5,2.12209879412309,1,9,300,3.57954986,0.8,0
7,1.97266050787415,2.10102051443364,11.8989794855664,240.2,2.96400424,0.2,0.2
9,3.97266050787415,3.34314575050762,14.6568542494924,240.2,2.9652974,0.2,0.2
11,6.73802737260433,4.67544467966324,17.3245553203368,300,3.72000372,0.92156862745098,0
13,10.1522409349774,6.07179676972449,19.9282032302755,300,3.72547038,1,0
15,14,7.51668522645212,22.4833147735479,241,3.01223774,1,0.2
