degree,lambda2,lambda2_lb,lambda2_ub,iters_mean,time_mean,acc_mean,converged_rate
10,0.132053547120146,4,16,1,0.96766232,0.763773723972729,1
20,0.915504565323523,11.2822021129187,28.7177978870813,1,0.9655144,0.763773723972729,1
30,2.90276990032116,19.229670385731,40.770329614269,1,0.9743452,0.763773723972729,1
40,6.5741127849027,27.5100040032032,52.4899959967968,1,0.94797086,0.763773723972729,1
60,20.3626514765715,44.6377085042628,75.3622914957372,1,0.91864482,0.763773723972729,1
70,30.8521467061413,53.3867522741639,86.6132477258361,1,0.90847236,0.763773723972729,1
80,43.7480036360037,62.2236111653688,97.7763888346312,1,0.94060024,0.763773723972729,1
90,58.8766518599268,71.1320377358868,108.867962264113,1,0.93246462,0.763773723972729,1
