degree,lambda2,lambda2_lb,lambda2_ub,iters_mean,time_mean,acc_mean,converged_rate
3,0.488969984480058,0.17157287525381,5.82842712474619,300,2.80699066,0.4964,0
5,2.92521878489924,1,9,300,2.86006372,0.30695,0
7,1.97266050787415,2.10102051443364,11.8989794855664,300,3.25731952,0.8175,0
9,3.97266050787415,3.34314575050762,14.6568542494924,240.4,2.9172523,0.8032,0.2
11,6.73802737260433,4.67544467966324,17.3245553203368,300,3.5683202,0.50325,0
13,10.1522409349774,6.07179676972449,19.9282032302755,300,3.60496584,0.5023,0
15,14,7.51668522645212,22.4833147735479,300,3.47939308,0.55975,0
